Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/actuator/health,79,79,3,4.627086531687797,1.1642910003502038,93.06416700019327,104.0,1.337709274129431,1.337709274129431,3,3,4,5,7,10,13,93,93,93,93
GET,/api/v1/analytics/heatmap [GET],6,6,4,4.252333333624847,2.6857080001718714,7.593583000016224,113.0,0.10159817271869095,0.10159817271869095,4,4,5,5,8,8,8,8,8,8,8
GET,/api/v1/analytics/summary [GET],11,11,4,5.7945907271707915,1.5505830006077304,20.527333000245562,113.0,0.18626331665093343,0.18626331665093343,4,6,7,7,10,21,21,21,21,21,21
POST,/api/v1/gate/validate [POST],1118,0,3,3.9531386198668996,0.9723330003907904,107.48525000053633,67.0,18.931126183249415,0.0,3,4,5,5,7,8,10,14,100,110,110
GET,/api/v1/health/status/[anonymousId],359,359,3,4.00512140948848,1.2653750000026776,94.29270799955702,146.0,6.078957334335009,6.078957334335009,3,4,4,5,7,8,9,12,94,94,94
GET,/api/v1/questionnaires [GET],21,21,3,3.4382283809983556,1.3703750000786385,6.858458999886352,110.0,0.3555936045154184,0.3555936045154184,3,4,4,5,6,6,7,7,7,7,7
POST,/api/v1/surveys [POST],42,42,3,5.9141657142867015,1.2349589997029398,93.38775000014721,103.0,0.7111872090308368,0.7111872090308368,3,4,5,6,8,9,93,93,93,93,93
,Aggregated,1636,518,3,4.054302966395189,0.9723330003907904,107.48525000053633,88.07640586797066,27.702435094629735,8.77130891138032,3,4,5,5,7,8,10,15,100,110,110
